Mean,mu_MLE,mu_MOM,variance,sigma_squared_MLE,sigma_squared_MOM
8.677305,8.694030823974249,10.34710207771461,29.702415015000003,29.160606958500967,57.188063613413036
8.685645,8.715706062908508,10.353668156590217,30.981695714999994,30.4151836284035,58.74053574896875
8.72508,8.663428047009546,10.280843300305344,17.22330792,16.476178643832743,30.445355926404037
8.725900000000001,8.924242026461503,10.5717224297051,21.4482622,22.833838932052355,44.124691481347426
8.739120000000002,8.673277977950256,10.270647169260359,24.478275120000006,23.613686239878625,45.273143724868184
8.746049999999999,8.71849543684018,10.345598174281138,17.4046395,16.43233364490504,30.14589906124321
8.756625,8.786065932889212,10.465752654997296,32.285676375,31.71618042202332,62.00745558374944
8.788345,8.697347394420609,10.348440266622212,16.073883005,15.482510102215812,28.279345919207028
8.832005,8.862965754099525,10.492713555328448,24.491149865000004,24.620751356696363,48.32379568532253
8.835909999999998,8.82641013149608,10.4696805605915,16.66452626,16.30663522950943,30.261369847003788
8.893044999999999,8.913049478075454,10.550464716257414,19.360158965000004,19.05672192399064,35.81809773162861
8.913120000000003,8.879291066034085,10.58071126680029,13.262722560000006,13.289023588322554,22.790968283292475
8.98062,8.929631266577026,10.685503462095332,13.03986024,12.700454219266028,22.495104411913786
8.99392,8.978179355909433,10.618692557942694,21.51345664,20.918432965659907,40.50171320565655
9.0125,9.002565102710898,10.676588881520557,15.771875,15.645362151554684,28.738103591368947
9.015299999999998,8.971514859862372,10.655097351730694,15.335025299999995,15.19521148628071,27.593126768663353
9.0375,9.087167880171975,10.740659769903871,16.9453125,16.49894885841491,30.251251053733906
9.05388,9.063056260891159,10.763621738358657,15.13808736,14.304543135564428,26.226431982476306
9.104395,9.083472352294487,10.774193075833239,15.195235255,14.905324964712381,26.627573324006953
9.116625,9.077726422208636,10.73363195365818,22.016649375,21.346444717810602,41.32431510995062
9.164925,9.170277711669062,10.867116150149503,14.544735975,14.488261032671698,25.31420870377516
9.17976,9.220282487007788,10.898555733718784,15.26594088,15.053175875371375,26.753971026173
