,a_MLE,b_MLE,a_std,b_std,mu_MOM,sigma_MOM,Inference_grade,Score,Mean,standard deviation,mu_ML,sigma_ML,a,b
66,6.662808920674252,23.250548061392823,0.12144645585046167,0.4894895013595974,194.27741657676106,79.94995501217838,1.0,0.0,155.20844999999997,60.48357765955978,154.91395903401354,60.015285135546684,6.585,23.569999999999997
67,8.34018697077265,22.51294432920274,0.17744903684021782,0.4544856925565119,218.31385931578595,124.07690819160109,1.0,0.0,186.79045000000002,64.58351762253277,187.76216496814672,65.01599162558753,8.365,22.330000000000002
68,3.0198432845421013,25.1415952856439,0.06680806796096964,0.6456481661108315,109.88189099315134,75.37942968296478,1.0,0.0,75.231,43.98796790032474,75.92367768602708,43.69030071972228,2.925,25.72
69,0.44660987634971755,19.429660050859912,0.010072414829709497,0.57470902481064,12.303509444645892,19.259497185563998,1.0,0.5355648535564853,8.940750000000001,13.254649655875482,8.677478072831592,12.984623562271986,0.455,19.650000000000002
70,3.32018828249131,21.88457150872309,0.07647828328152843,0.5693959804916915,105.90843330588655,74.44181488389124,1.0,0.0,72.9553,40.84712610453763,72.66089789060557,39.87671771566693,3.19,22.869999999999997
71,5.8454151033862285,38.82553750008414,0.12975265560495367,0.8297594801932539,295.20281155998964,233.94212466318592,1.0,0.0,227.9139,94.11022342976347,226.9513833000802,93.86964068863391,5.865,38.86
72,1.3262532943591168,359.04953756124166,0.019763607139397513,6.922244603861451,653.2555223905238,705.2855301491524,1.0,0.002176278563656148,474.0840000000001,415.7991740251537,476.1906320287142,413.49247420104905,1.3,364.68000000000006
73,5.798785476317981,94.57703543065205,0.14123303143297583,2.8642457087031437,745.9753988640666,280.0310456705402,1.0,0.0,555.33135,235.40712694500138,548.4319394484762,227.74781440997356,5.565,99.78999999999999
75,2.0309059340042603,24.419817891321046,0.033813981850868785,0.4798245424435056,69.75176633943161,63.278181504443104,1.0,0.011777301927194861,49.481199999999994,34.47518562676639,49.59435306278731,34.80064755476752,2.06,24.019999999999996
77,2.805046804355008,19.898111533023148,0.05013809827906123,0.3964472482651527,78.91407794598778,65.8579501684389,1.0,0.0010235414534288639,56.116499999999995,34.24667648108353,55.815134168406104,33.32590231206945,2.685,20.9
79,3.4171428137695377,42.55262814004933,0.057545932522228796,0.829681020008975,190.39118562622016,133.23085788409216,1.0,0.0,144.6774,78.1184532104931,145.40840745577697,78.66072648343933,3.43,42.18
80,0.7457808341179945,48.09816570639287,0.011534787835909173,1.047278400215229,49.69967194412501,61.064858830864004,1.0,0.17355371900826447,36.5795,42.37987081150673,35.87069014005919,41.53690405361526,0.745,49.1
81,4.478312364132978,65.72135124047047,0.11633119990041026,1.8122234346931736,431.380405271639,307.4241017437999,1.0,0.0,294.84740000000005,140.80319306038484,294.3207398477251,139.07967759844524,4.385,67.24000000000001
83,7.402967460843681,34.86761688562269,0.25288178862150185,1.1321477549570416,349.0537698144531,271.012659953086,1.0,0.0,256.59315000000004,96.94847644238666,258.12383324142843,94.86918849927243,7.005,36.63
84,1.0508297882520146,35.520478756129656,0.01580963446511698,0.7074869811090665,52.25670405972845,58.878018647509755,1.0,0.0960960960960961,37.378800000000005,35.96776706997531,37.325977169913905,36.41203893104185,1.08,34.61
86,4.710314187157103,316.53163040837063,0.16681814261122238,12.59407216337781,2237.47904540249,1328.9634744483822,1.0,0.0,1512.81185,705.7358184019712,1490.9634293965166,686.9767719407514,4.595,329.23
87,2.2322146629130537,16.418888008301174,0.03555900062349071,0.3063144399427467,49.596004579103926,44.953701987001516,1.0,0.014675052410901468,36.76575,24.592612457809356,36.650482560857185,24.53080040718014,2.235,16.45
89,6.926979342096727,2242.6394850122056,0.14528571802002802,44.16584411404723,18867.449442590714,13816.317885881615,1.0,0.09268292682926829,15665.00445,6013.891612261274,15534.71738444999,5902.437682421822,6.785,2308.77
90,10.296919642640404,55.17483975745733,0.44222672563427745,3.0998843298591034,790.7383674651093,142.60540964784394,1.0,0.0,591.7015,192.07443485534455,568.130891278099,177.04951535525458,9.49,62.35
91,6.968417271727831,33.63707201147593,0.18335920079388587,0.8283579116496184,301.1915640543565,237.2628809718573,1.0,0.0,234.9,89.0386152183422,234.39715357512168,88.79433503378101,6.96,33.75
92,8.092228195158429,158.93379963546258,0.47466575857895454,9.414899097726781,1921.4005259261664,1307.3368975129472,1.0,0.0,1287.64455,470.652198482595,1286.1285745737507,452.1164685971388,7.485,172.03
93,3.0347899954819066,22.735167922621095,0.06153186329081075,0.5230791361985629,99.86290696509273,73.56799887084404,1.0,0.0,68.2272,38.81309799539326,68.99646015717165,39.606137248408025,3.09,22.080000000000002
94,9.540122391050513,123.27791824931921,0.6151211201465847,7.64005595045418,1640.2565168457393,1224.93797638819,1.0,0.0,1181.2374000000002,406.7191727666647,1176.0864282124248,380.7695977245362,8.435,140.04000000000002
97,5.83018007131925,137.63464302970468,0.10472044492784288,2.467228505559834,989.147650177132,695.0626506261785,1.0,0.0,800.9234999999999,331.1411124958663,802.4347529149231,332.32938595928397,5.85,136.91
99,8.384678104885289,557.1661920677428,0.3560060127043026,22.350342787211122,6299.481416919641,4865.421019969755,1.0,0.0,4629.9879,1627.8170582252174,4671.659171412715,1613.347622545857,8.09,572.3100000000001
101,5.065531723557951,2491.0047107063046,0.08593471468115776,45.720617853212964,15804.5936075562,10044.012930095707,1.0,0.041666666666666664,12500.47065,5554.393447434787,12618.263385615084,5606.438578500621,5.065,2468.0099999999998
102,3.9861913116450802,39.0979723063139,0.06640726889314857,0.7356721223844898,201.04673209514672,135.66326745967257,1.0,0.0,157.8252,78.7160552365272,155.85199751036842,78.06085499495946,4.02,39.260000000000005
103,2.176411292022019,12.927784035555817,0.03539498253114428,0.2552870700102499,37.786322645269095,31.242602067028194,1.0,0.028599605522682446,28.425249999999995,19.18611444508762,28.136175155805663,19.071926908438662,2.195,12.95
104,0.818520124776832,27.917338732240268,0.013344946867484081,0.6103297720948645,31.543184200025287,40.96926947457784,1.0,0.21253985122210414,22.299300000000002,24.777,22.850903582550387,25.25740318504303,0.81,27.53
105,5.574476447135394,11.355720836554914,0.1500392059162812,0.3048714623631998,89.47459226876013,68.09717090702279,1.0,0.0,62.4298,26.24120222093492,63.302198343620006,26.811230720173548,5.66,11.03
106,3.41462409922204,11.865776448896446,0.055714548343950406,0.21367553530494232,53.175809270956016,42.27927023673372,1.0,0.0010162601626016261,40.871249999999996,22.247490588828214,40.51716621838312,21.926414132048887,3.375,12.11
107,0.5953815167686414,25.57008313812251,0.010724697137163995,0.6253891617150571,21.097479450096767,31.58224868420602,1.0,0.35958549222797925,15.214400000000001,19.773974815398145,15.22395488267564,19.730123974294795,0.5920000000000001,25.7
108,3.579288491339782,23.54373498370664,0.09216139664641816,0.7049171976620439,123.05698177193891,75.32308787118403,1.0,0.0,85.89399999999999,46.92890537824209,84.26981967033498,44.54241014407635,3.35,25.639999999999997
110,5.970042811925231,26.008709232239017,0.10841788614605705,0.540359711160246,195.5606090647874,92.7920561942007,1.0,0.0,154.94490000000002,62.70966083467524,155.27310759938194,63.54882459289461,6.105,25.380000000000003
111,5.62212932979338,164.16539934134923,0.1138793320697969,3.2270446197794835,1191.1301759000758,939.7723838911429,1.0,0.0,923.4315999999999,393.2167177320924,922.9591065742424,389.25306717673453,5.515,167.44
113,0.36266084880735583,18.074159886839126,0.009085260618066545,0.5805714685859793,9.446892622875632,14.710694458953338,1.0,0.6259842519685039,6.84255,11.35702722986962,6.55479016604094,10.884499321774278,0.363,18.85
114,5.834992785055921,47.28245289502599,0.1751513971290386,1.420204621417693,394.03018839279576,293.97954035741924,1.0,0.0,276.53299999999996,118.45372269371697,275.8927715022231,114.21421528265225,5.45,50.739999999999995
115,5.537822394057753,16.326205802965553,0.25937907180400904,0.8730791508575889,137.5731121587143,72.87467701919115,1.0,0.0,91.04395000000001,38.9810662437548,90.41162810565828,38.419771569260554,5.455,16.69
116,4.121336367758875,57.98965355656716,0.0825942879913084,1.2004988158765098,331.5068449843524,267.03663611201836,1.0,0.0,237.1092,119.45388924601828,238.99486815641805,117.72522926793616,3.94,60.18
117,7.055520374403147,180.67483539636245,0.31002960598753854,8.05867539038282,1893.3203830563539,1303.5695836422528,1.0,0.0,1273.9129,496.24601026003216,1274.7549822809701,479.9126447535085,6.59,193.31
119,0.7002599714206716,8.492188257515018,0.018037471968653584,0.2524321419786053,8.464563319235799,11.085369751649399,1.0,0.556020942408377,5.9639999999999995,7.128343426070323,5.94673950650643,7.106393699173622,0.7,8.52
120,3.33203868050298,41.82133326267151,0.056120975692993416,0.825827979037518,183.45665467263828,125.3130296673205,1.0,0.0,140.079,78.55240257305948,139.35030010142737,76.34012929511634,3.18,44.050000000000004
121,0.46871313244730045,26.59999543139769,0.009118467385163457,0.7079146282733182,17.358308927256868,28.065347079233256,1.0,0.4533333333333333,12.5055,18.642098728415746,12.467767181734292,18.21105571003126,0.45,27.79
122,2.6227290580627276,16.188409269403433,0.04198789492992855,0.29272545544552286,57.51317785600948,50.57266847588893,1.0,0.0060790273556231,42.527100000000004,26.223333254946827,42.45781139467639,26.216872955029594,2.63,16.17
123,1.196458800768476,8.830599909287987,0.02361029662964243,0.21173540504597202,14.77146713257141,15.32358715409133,1.0,0.2929399367755532,10.672,9.908703245127487,10.565448977532917,9.659153833674512,1.16,9.200000000000001
124,2.890835352473972,17.64596065662345,0.0492285925302152,0.33120617489631077,70.870855928932,60.64533152285699,1.0,0.0020060180541624875,50.8891,30.357891906389018,51.011566894531896,30.002468272687583,2.81,18.11
125,9.701250862560796,446.1010118695751,0.4102925587311389,17.1004101064763,5362.939573934598,4194.018017116687,1.0,0.0,4263.7357999999995,1452.6555414605348,4327.737826188959,1389.4632860817626,8.615,494.91999999999996
126,7.186329794474935,120.31058675623956,0.15725480193971658,2.460655950861461,1040.7188798228544,746.3519316045689,1.0,0.0,860.7336,322.34726645653444,864.5915541971259,322.5205686308167,7.13,120.72000000000001
127,0.23031632940551253,77.69538097174822,0.004529598275801103,2.4490059086497302,24.94636199381701,53.48813899684722,1.0,0.5571284125379171,18.0067,37.54656499601528,17.894514957175954,37.28701056537561,0.23,78.28999999999999
128,3.9666360051593217,8.630871894637421,0.06939880682266654,0.17573090426639307,44.61762404464291,27.668503689643245,1.0,0.0010235414534288639,34.33585,17.510543695156926,34.235527213186444,17.18960295127219,3.845,8.93
129,0.6735492496497284,17.19442625163933,0.013405847347997477,0.44706120019106826,15.873201282247317,20.513829004157213,1.0,0.391025641025641,11.64415,14.278972879727728,11.581292899949263,14.111473582401374,0.665,17.509999999999998
130,1.5449044145986255,30.45170428693675,0.024532135829223277,0.6015256857109166,66.10305404831172,63.96437082567149,1.0,0.030526315789473683,46.99209999999999,37.68423094611325,47.04497238494047,37.84969732049799,1.555,30.22
131,0.8453552109900708,26.17345902584948,0.01350160231336096,0.5573976257933537,30.48323750808542,39.23708968429118,1.0,0.2099391480730223,22.358700000000002,24.323059059254867,22.125869977136958,24.064715898133255,0.845,26.460000000000004
132,4.032067306597756,22.287149352413756,0.12041442754801178,0.7785754942776033,131.85298420274322,74.25999133545679,1.0,0.0,91.16624999999999,46.92190253495695,89.86328626112885,44.752614249901534,3.775,24.15
133,4.255454725356202,12.343889964091582,0.08079875814779196,0.2398931287632004,70.88895780651973,57.75418364973262,1.0,0.0,52.572500000000005,25.501408294445234,52.52886487697052,25.46390637706554,4.25,12.370000000000001
134,6.614303089687353,17.55247493224916,0.28467327540873516,0.9416721290922498,168.64067432596508,57.447931139268555,1.0,0.0,119.41624999999999,49.7783807239649,116.09738917603545,45.14195956327037,5.755,20.75
